country,isocode,adjusted_wage,elementary_wage,distortion_factor,weight_gdp,contribution_gdp,n_years,year_min,year_max
Italy,ITA,6.74962035898784,12.473450293624524,0.5481684754182008,0.03262419291248664,0.22020091667766659,4,2002,2018
Norway,NOR,5.802552825001612,27.81505893299053,0.2115941310933497,0.004873260916052469,0.0282773538954102,2,2014,2018
Denmark,DNK,5.791357000743496,28.427105386406414,0.20442068146534034,0.003877543201011242,0.0224562369628618,2,2014,2018
Luxembourg,LUX,5.68500282677514,16.736420878626934,0.34742095064156653,0.0006166443279970585,0.0035056247477781343,4,2002,2018
Belgium,BEL,5.474549382690022,17.011393047521725,0.3260467978256983,0.006658664139397324,0.036453185653877805,7,2006,2018
France,FRA,5.251889649486801,14.609162821520139,0.36181504070508014,0.035852011663907765,0.18829080897095724,5,2002,2018
Spain,ESP,4.793104851739454,11.676765204522509,0.4176491216928179,0.023126281917186055,0.11084669405995887,11,2002,2019
Finland,FIN,4.601099586909044,16.529302973786713,0.28261931229134,0.0030411474929460214,0.013992622473523413,7,2002,2017
Greece,GRC,4.564494857281423,8.397766855943315,0.5620677647155059,0.0042608905676022706,0.019448813083259485,5,2002,2018
Switzerland,CHE,4.505702154427564,32.600547258791295,0.13864730778961984,0.008304838991803594,0.037419130937543496,2,2014,2018
Germany,DEU,4.312059444177665,14.383439135648123,0.3009534446633652,0.05145048480361016,0.22185754890492662,5,2002,2018
Slovenia,SVN,4.163412775557469,6.485863810840845,0.6709532985027883,0.0007902568253033821,0.0032901653624395877,5,2002,2018
Cyprus,CYP,4.151063248646826,8.62897093758572,0.49994387348944913,0.00032707774485263796,0.001357720406108069,5,2002,2018
Sweden,SWE,4.0611398633249305,16.630762045244637,0.24669099802166913,0.006827518367543172,0.027727507010012732,6,2014,2019
United States,USA,4.031627222565243,17.273998239483788,0.23311927722228326,0.22724424942073268,0.9161641021360318,13,2003,2015
Czechia,CZE,3.999865837397972,4.53641375790021,0.8893515152970197,0.004827692576943203,0.019310122611974897,8,2012,2019
Portugal,PRT,3.6675649483342605,5.058800303767972,0.7447733554944569,0.004100017815047424,0.015037081626013951,13,2002,2018
Croatia,HRV,3.5218837598425976,4.6684696927372205,0.7543979058751572,0.001468537456536829,0.005172018218897612,1,2018,2018
Brunei Darussalam,BRN,3.4307049989000644,2.254424218441157,1.5312514274608926,0.0003713589329649905,0.0012740229477091868,2,2014,2017
Latvia,LVA,3.340952551746477,3.0683777615316474,1.2726952400197091,0.0006107768199443056,0.0020405763751405264,5,2002,2018
Netherlands,NLD,3.3031943443099627,13.906825789823085,0.23954428163026886,0.011394216320747249,0.037637310908536586,5,2002,2018
Ireland,IRL,3.0369495959844772,19.297128242964938,0.16006927547489955,0.004075052688510406,0.012375729615987135,5,2002,2018
Iceland,ISL,2.843947125231837,19.072637504099202,0.15141035281827406,0.0002084030673618661,0.0005926873043132759,4,2014,2017
Estonia,EST,2.5436799306564906,3.800169939072302,0.7685482074455352,0.00046563021637419495,0.0011844142364982788,5,2002,2018
Tajikistan,TJK,2.5162636780810614,0.35102734350658643,10.680555914520111,0.00023781611633276638,0.0005984080555904403,3,2003,2009
Serbia,SRB,2.4500527825416465,1.834635662337062,1.4955606316835068,0.0015203292569246967,0.003724886926307827,6,2014,2019
Malta,MLT,2.442636557319725,7.75165616997958,0.3212240649616328,0.00016149208038005413,0.0003944664592539357,4,2002,2018
Russian Federation,RUS,2.3954448377362025,1.6560175036875937,1.4658418581805073,0.05203701080408216,0.1246517889018616,2,2015,2017
Albania,ALB,2.28482241597171,1.7091677745376852,1.336804057512572,0.0004906902752125745,0.001121140140105018,1,2018,2018
Romania,ROU,2.246231341385033,2.1101610341649324,1.0644833759210934,0.005777201398734305,0.012976930847330446,1,2014,2014
Austria,AUT,2.240192610849811,13.571726256312662,0.16647444896591945,0.005641297084614546,0.012637592044562088,5,2002,2018
Argentina,ARG,2.2134342513487804,2.684676623203894,0.9239403094223951,0.012384914254751892,0.02741319341148559,13,2004,2019
Maldives,MDV,2.08711544216984,2.640937926610894,0.7958095908762256,0.0001346598939398145,0.00028105074408273973,2,2016,2019
TÃ¼rkiye,TUR,2.0714354437119877,2.412433502744825,0.9208567803306963,0.02445218329918068,0.05065111916206519,11,2009,2019
Poland,POL,1.9179303002027612,4.241111832213264,0.4522234678263297,0.013186797626233012,0.025291358729994138,1,2014,2014
United Kingdom,GBR,1.8091803571441105,12.347897529099567,0.14679857182210415,0.0395611764569312,0.07157330335139196,5,2015,2019
Lithuania,LTU,1.7854067984249251,2.5561643339034257,0.7743044546688967,0.0009375991804318564,0.0016739959509406745,5,2002,2018
Malaysia,MYS,1.7708136904611398,1.8314439676617669,0.9661607169963651,0.009201533809892217,0.016294202043798188,9,2011,2019
Ecuador,ECU,1.7692187663140326,1.6520202599996014,1.084949531991081,0.0025780349015456735,0.004561107728027155,5,2014,2019
Yemen,YEM,1.7452059952307226,1.6216015829050714,1.076223662845849,0.0010029607583452512,0.0017503731284452843,1,2014,2014
Ukraine,UKR,1.7440498066142036,0.69290562251186,2.517009171165084,0.007076868267472232,0.01234241073331914,1,2016,2016
Dominican Republic,DOM,1.4947050075624824,1.0673539116979616,1.4001021591529432,0.0023676243882441023,0.0035389000291355184,5,2015,2019
Chile,CHL,1.459228167754591,2.2568775109803805,0.6716677422534147,0.003911212592536036,0.005707351585105044,11,1992,2019
Hungary,HUN,1.4501090989216667,3.7589639954184157,0.3857861049765932,0.003600591196149606,0.005221250055033791,3,2014,2019
Israel,ISR,1.3976786564670032,7.131470534875393,0.1961587661631163,0.004045337070871961,0.005654081282172484,3,2014,2016
Jordan,JOR,1.2782954154459458,1.8198658043145917,0.7022622800221446,0.0014230691710996801,0.0018191027972791834,3,2017,2019
Thailand,THA,1.2350534008968916,1.2245583978889487,1.0201278898633366,0.015291215909689173,0.01888546821311027,6,2014,2019
Mongolia,MNG,1.1976444101757455,0.9183041758835074,1.3558810676575714,0.00036289378671588535,0.0004346177151477893,12,2008,2019
Jamaica,JAM,1.1030629189868562,1.2082090864339305,0.9292915114110146,0.00031186191716314564,0.0003440033166668166,7,2008,2014
Sri Lanka,LKA,1.0386126012127237,0.6291316886098168,1.659442030025306,0.0032743585332820173,0.0034007900335551147,9,2010,2019
Peru,PER,1.0367104879025613,1.3782336012459635,0.7526203241682726,0.0038612332822378003,0.004002981039934358,18,2002,2019
Panama,PAN,1.0189232068359677,2.2517626916447244,0.45477952295267304,0.001338494702063588,0.0013638233141595843,11,2003,2019
Indonesia,IDN,0.979136550338359,0.5452662978504844,1.8406957169271174,0.03049221236301268,0.0298560396253049,10,2007,2019
Bulgaria,BGR,0.9336532748813275,2.1072260299637398,0.44306388553057785,0.0018051540288600413,0.0016853879707104,2,2014,2018
Paraguay,PRY,0.8669339218727019,1.1454711336984194,0.8351246707220893,0.0008252000156066937,0.0007153938858593257,21,1998,2019
Belize,BLZ,0.8302434250428721,2.744181938518327,0.30254678576127775,3.2144128047623824e-05,2.668745096527585e-05,1,2019,2019
Brazil,BRA,0.7886597446383425,2.5609407594515634,0.3096326715787413,0.040910491432248695,0.03226445772598636,8,2012,2019
Colombia,COL,0.7689670617975988,1.3576533184636592,0.5992402658694541,0.007184517593097626,0.005524657383997438,17,2002,2019
El Salvador,SLV,0.762414877545192,1.2838382424871508,0.5940720916413891,0.000650238046153021,0.0004957511603329804,10,2010,2019
Egypt,EGY,0.7261756220703659,0.6872152669983584,2.3890720033041752,0.014203253876640563,0.010314056719292797,10,2008,2019
Nicaragua,NIC,0.6894937187088827,0.4623124058810315,2.130607407653075,0.00032456234287579164,0.00022378369674229702,2,2001,2012
Viet Nam,VNM,0.6366337615740902,0.7122895050031125,1.2457469706501525,0.0073466094057801565,0.004677099580817413,11,2007,2019
India,IND,0.6263386046745182,0.5034045832511611,1.2441176368248885,0.1210206213804545,0.07579988713227703,2,2018,2019
Zambia,ZMB,0.6106995021247738,2.4978041609700234,0.31672351011825856,0.0007418827425034073,0.0004530674214817926,3,2017,2019
Armenia,ARM,0.599659492220926,0.9008560109210935,0.670959086255062,0.0005012179301155473,0.00030056008946511263,7,2013,2019
Slovakia,SVK,0.5931558182619671,4.388852377966095,0.13615491706204588,0.0018909964635615245,0.0011216555546743221,3,2014,2019
Nepal,NPL,0.548117020896492,0.6197624518085749,1.0756543272129822,0.0010248320171315586,0.0005617278721494925,2,2008,2017
Myanmar,MMR,0.525839012910645,0.47735755313605177,1.099888186347847,0.003474354970068157,0.0018269513879618335,4,2015,2019
Namibia,NAM,0.5238405308605035,1.1561734369121763,0.46860359457834877,0.00030478557606568297,0.00015965903796487174,5,2012,2018
Botswana,BWA,0.5163629497532616,0.662057880271904,0.7799362640940001,0.0005183256787093639,0.0002676441763912285,1,2019,2019
Bangladesh,BGD,0.4955992293112394,0.47,1.0544664453430626,0.008853442333510873,0.004387759197239489,1,2017,2017
Pakistan,PAK,0.4282034665660563,0.441151055435608,0.9792901778005373,0.011031623133001945,0.004723779267401732,12,2006,2019
Lesotho,LSO,0.3740345326262141,0.7100330889872594,0.5267846505008806,8.643495210892736e-05,3.2329656914631844e-05,1,2019,2019
Honduras,HND,0.36495585209314485,1.0966276208729404,0.3479413322615146,0.0005753315216971046,0.00020997060573701244,15,2005,2019
South Africa,ZAF,0.33378595920582815,3.7874732013786456,0.2170275343155994,0.007590916104036392,0.0025337412130367553,10,2000,2019
Costa Rica,CRI,0.28550743412950125,2.5595808432912115,0.11111974101136121,0.001162723907979886,0.0003319663195683636,4,2010,2019
Uganda,UGA,0.2806948555190706,0.37204281422665,0.8094696754806951,0.0009658269701253536,0.0002711026618357578,2,2012,2017
"Korea, Republic of",KOR,0.2801124626393378,8.842441205771143,0.03187722732063567,0.025756538194693784,0.00721472734277984,11,2009,2019
Kenya,KEN,0.20497161392494334,0.3115151233286916,0.6486156808925101,0.0022733925233487206,0.0004659809345956867,2,2005,2019
Nigeria,NGA,0.18130408298632764,0.8853454118193171,0.20283525899786553,0.011426184543249078,0.002071613910646325,2,2011,2013
Rwanda,RWA,0.1663576227909771,0.44,0.37808550634312976,0.0003339932440300483,5.5562322105085545e-05,1,2017,2017
Madagascar,MDG,0.15983341543944418,0.19522796681361615,0.7968329172419606,0.0004989676365170645,7.975170153826955e-05,2,2012,2015
Ethiopia,ETH,0.12492099291208285,0.17189192953567584,0.7761563590956877,0.0014581902217254638,0.00018215857035263518,2,2005,2013
Philippines,PHL,0.1126868927815754,1.0410671214414895,0.10882608289292788,0.008637721431459213,0.0009733579888239603,13,2006,2019
Ghana,GHA,0.09895152768173227,1.2099758378643282,0.08984068165685147,0.0017393765857574668,0.00017211397037453693,2,2013,2015
Mauritius,MUS,0.09762826109172158,1.8685109102508473,0.05283414017490185,0.00029680958279621985,2.8977003443754305e-05,19,2001,2019
Senegal,SEN,0.048772859735257114,0.508537212382767,0.09590814309680576,0.000729331132209273,3.5571565011799136e-05,1,2019,2019
Mali,MLI,0.04546213777838822,0.3046916357600746,0.15465533329900713,0.000503947913366338,2.291054947059171e-05,6,2013,2018
Mexico,MEX,0.030339618801824054,1.553766923660244,0.019868353308420676,0.028555671390669123,0.0008663681846230541,10,2002,2019
"Tanzania, United Republic of",TZA,0.02208986334902075,0.19969784980036387,0.11092240709131433,0.0007049694848641485,1.557267958587859e-05,2,2001,2006
